Date,Rate,CGST%,Qty,CGST,SGST%,SGST,SlNo,Amount,IGST%,Qty,Item Name,IGST,Invoice No
03-04-24,4.33,9.00,400,194.85,9.00,194.85,42,2554.70,0.00,500.00,VAY BAND 10944,0.00,400
03-04-24,4.33,9.00,0,97.42,9.00,97.42,43,1277.34,0.00,250.00,VAY BAND 30029MT,0.00,0
03-04-24,4.66,9.00,0,20.97,9.00,20.97,44,274.94,0.00,50.00,VAY BAND1044MT 0.5MMX22,0.00,0
03-04-24,4.66,9.00,7300,41.94,9.00,41.94,45,549.88,0.00,100.00,VAY BAND 11510,0.00,7300
03-04-24,4.66,9.00,0,20.97,9.00,20.97,46,274.94,0.00,50.00,VAY BAND 19070,0.00,0
03-04-24,4.66,9.00,0,20.97,9.00,20.97,47,274.94,0.00,50.00,VAY BAND 5063MT,0.00,0
03-04-24,4.66,9.00,7300,20.97,9.00,20.97,48,274.94,0.00,50.00,VAY BAND 11510,0.00,7300
03-04-24,4.66,9.00,0,20.97,9.00,20.97,49,274.94,0.00,50.00,VAY BAND REALWOOD-2 DARK MAT,0.00,0
03-04-24,4.66,9.00,0,20.97,9.00,20.97,50,274.94,0.00,50.00,VAY BAND 5095MT,0.00,0
03-04-24,4.66,9.00,50,20.97,9.00,20.97,51,274.94,0.00,50.00,VAY BAND 19071,0.00,50
03-04-24,6.99,9.00,4250,31.46,9.00,31.46,52,412.42,0.00,50.00,VAY BAND 1401GL BLACK GLOSSY,0.00,4250
03-04-24,6.99,9.00,5350,157.28,9.00,157.28,53,2062.06,0.00,250.00,VAY BAND 1261HG (DARK GREY),0.00,5350
03-04-24,6.99,9.00,23700,125.82,9.00,125.82,54,1649.64,0.00,200.00,VAY BAND 1113HG(OFF-WHITE),0.00,23700
03-04-24,6.99,9.00,5350,125.82,9.00,125.82,55,1649.64,0.00,200.00,VAY BAND 1261HG (DARK GREY),0.00,5350
03-04-24,7.63,9.00,23700,34.34,9.00,34.34,56,450.18,0.00,50.00,VAY BAND 1113HG(OFF-WHITE),0.00,23700
03-04-24,7.63,9.00,23700,171.68,9.00,171.68,57,2250.86,0.00,250.00,VAY BAND 1113HG(OFF-WHITE),0.00,23700
03-04-24,11.02,9.00,3800,49.59,9.00,49.59,58,650.18,0.00,50.00,VAY BAND 10659 40MM,0.00,3800
03-04-24,11.03,9.00,5050,99.27,9.00,99.27,59,1301.54,0.00,100.00,VAY BAND 11510 40MM,0.00,5050
04-04-24,3.60,9.00,24800,243.00,9.00,243.00,60,3186.00,0.00,750.00,VB-1113 MAT OFF-WHITE (0.45MMX22MM),0.00,24800
04-04-24,3.94,9.00,13800,88.65,9.00,88.65,61,1162.30,0.00,250.00,VB-1044 (0.45MMX22MM),0.00,13800
04-04-24,4.03,9.00,0,181.35,9.00,181.35,62,2377.70,0.00,500.00,VAY BAND 1114MT,0.00,0
04-04-24,4.03,9.00,0,181.35,9.00,181.35,63,2377.70,0.00,500.00,VAY BAND 1114MT,0.00,0
04-04-24,4.03,9.00,0,181.35,9.00,181.35,64,2377.70,0.00,500.00,VAY BAND 1114MT,0.00,0
04-04-24,4.24,9.00,0,95.40,9.00,95.40,65,1250.80,0.00,250.00,VAY BAND 1043 (0.5 MM),0.00,0
04-04-24,4.24,9.00,300,38.16,9.00,38.16,66,500.32,0.00,100.00,VAY BAND 19079,0.00,300
04-04-24,4.33,9.00,0,194.85,9.00,194.85,67,2554.70,0.00,500.00,VAY BAND 1043 (0.5 MM),0.00,0
04-04-24,4.33,9.00,7300,97.42,9.00,97.42,68,1277.34,0.00,250.00,VAY BAND 11510,0.00,7300
04-04-24,4.42,9.00,0,99.45,9.00,99.45,69,1303.90,0.00,250.00,VAY BAND 1043 (0.5 MM),0.00,0
04-04-24,4.66,9.00,0,41.94,9.00,41.94,70,549.88,0.00,100.00,VAY BAND 5550MT,0.00,0
04-04-24,6.78,9.00,23700,152.55,9.00,152.55,71,2000.10,0.00,250.00,VAY BAND 1113HG(OFF-WHITE),0.00,23700
04-04-24,6.78,9.00,5350,183.06,9.00,183.06,72,2400.12,0.00,300.00,VAY BAND 1261HG (DARK GREY),0.00,5350
04-04-24,8.50,9.00,1550,76.50,9.00,76.50,73,1003.00,0.00,100.00,VAY BAND 1873 0.8MMX22MM,0.00,1550
04-04-24,8.50,9.00,1350,191.25,9.00,191.25,74,2507.50,0.00,250.00,VAY BAND REALWOOD LIGHT MAT 0.8MMX22MM,0.00,1350
04-04-24,8.50,9.00,2000,191.25,9.00,191.25,75,2507.50,0.00,250.00,VAY BAND 10659 0.8MMX22MM,0.00,2000
04-04-24,8.50,9.00,2000,191.25,9.00,191.25,76,2507.50,0.00,250.00,VAY BAND 10659 0.8MMX22MM,0.00,2000
05-04-24,3.60,9.00,10050,16.20,9.00,16.20,77,212.40,0.00,50.00,VB-1313MT(0.45MMX22MM),0.00,10050
05-04-24,4.03,9.00,8700,18.14,9.00,18.14,78,237.78,0.00,50.00,VAY BAND 1267 LITE GREY,0.00,8700
05-04-24,4.66,9.00,5200,62.91,9.00,62.91,79,824.82,0.00,150.00,VAY BAND 1873,0.00,5200
05-04-24,4.66,9.00,50,62.91,9.00,62.91,80,824.82,0.00,150.00,VAY BAND 1003 (0.5 MM),0.00,50
05-04-24,4.66,9.00,300,20.97,9.00,20.97,81,274.94,0.00,50.00,VAY BAND 19079,0.00,300
05-04-24,4.66,9.00,0,209.70,9.00,209.70,82,2749.40,0.00,500.00,VAY BAND 19070,0.00,0
05-04-24,4.66,9.00,300,20.97,9.00,20.97,83,274.94,0.00,50.00,VAY BAND 19079,0.00,300
05-04-24,7.63,9.00,23700,34.34,9.00,34.34,84,450.18,0.00,50.00,VAY BAND 1113HG(OFF-WHITE),0.00,23700
06-04-24,4.42,9.00,50,79.56,9.00,79.56,85,1043.12,0.00,200.00,VAY BAND 1003 (0.5 MM),0.00,50
06-04-24,4.42,9.00,0,39.78,9.00,39.78,86,521.56,0.00,100.00,VAY BAND 1043 (0.5 MM),0.00,0
06-04-24,4.42,9.00,0,59.67,9.00,59.67,87,782.34,0.00,150.00,VAY BAND 19070,0.00,0
06-04-24,4.42,9.00,50,59.67,9.00,59.67,88,782.34,0.00,150.00,VAY BAND 10485,0.00,50
06-04-24,4.42,9.00,3700,59.67,9.00,59.67,89,782.34,0.00,150.00,VAY BAND 10450,0.00,3700
06-04-24,7.20,9.00,5350,97.20,9.00,97.20,90,1274.40,0.00,150.00,VAY BAND 1261HG (DARK GREY),0.00,5350
06-04-24,8.06,9.00,1400,36.27,9.00,36.27,91,475.54,0.00,50.00,VAY BAND 1011MT(P-WHITE) 40MMX50MTR,0.00,1400
06-04-24,8.06,9.00,2550,36.27,9.00,36.27,92,475.54,0.00,50.00,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,0.00,2550
06-04-24,11.87,9.00,7100,53.42,9.00,53.42,93,700.34,0.00,50.00,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,0.00,7100
08-04-24,3.60,9.00,24800,97.20,9.00,97.20,94,1274.40,0.00,300.00,VB-1113 MAT OFF-WHITE (0.45MMX22MM),0.00,24800
08-04-24,3.60,9.00,9150,81.00,9.00,81.00,95,1062.00,0.00,250.00,VB-1261 MAT(0.45MMX22MM),0.00,9150
