Category,Size,Total Sales Qty,Recent Sales Qty,Current Stock Qty,Final PO Quantity,PO Value,Trend direction
RX-VAYBAND-SOLID-GLOSSY-0.5*22,RX-VAYBAND-SOLID-GLOSSY-0.5*22,137250.0,4716.666666666666,39500.0,1300.0,7410.0,New Moving Item
Uncategorized,Uncategorized,3135615.0,81471.66666666667,1006261.0,15999.0,97313.15,Dormant Item
