SlNo,Invoice No,Date,Item Name,Rate,Qty,CGST%,CGST,SGST%,SGST,IGST%,IGST,Amount
3320,710,17-07-25,VB-10659 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3321,711,17-07-25,VAY BAND1135 HG{.5},6.19,200,9,111.42,9,111.42,0,0,1460.84
3322,712,17-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3323,712,17-07-25,VB-19070(0.45MMX22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3324,712,17-07-25,VB-REALWOOD2 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
3325,713,17-07-25,VAY BAND 1114GL 0.5MMX40MM,11.88,50,9,53.46,9,53.46,0,0,700.92
3326,714,17-07-25,VAY BAND1114HG,6.19,500,9,278.55,9,278.55,0,0,3652.1
3327,714,17-07-25,VAY BAND1135 HG{.5},6.19,250,9,139.28,9,139.28,0,0,1826.06
3328,714,17-07-25,VB-1013 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3329,714,17-07-25,VB-10659 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3330,714,17-07-25,VB-1135 SAGE GREEN (0.45X22),3.6,250,9,81,9,81,0,0,1062
3331,714,17-07-25,VB-1873 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
3332,714,17-07-25,VB-30054(0.45MMX22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
3333,715,17-07-25,VAY BAND1135 HG{.5},6.19,250,9,139.28,9,139.28,0,0,1826.06
3334,716,18-07-25,VB-10944(0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3335,716,18-07-25,VB-1114 MAT (0.45MMX22MM),3.6,350,9,113.4,9,113.4,0,0,1486.8
3336,716,18-07-25,VB-1401MT (0.45X22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
3337,716,18-07-25,VB-19070(0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3338,716,18-07-25,VB-4013 (0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3339,716,18-07-25,VB-5095 (0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3340,717,18-07-25,VB-2891-MT-WOOD-0.45*22,3.94,250,9,88.65,9,88.65,0,0,1162.3
3341,718,18-07-25,VB-1117 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3342,719,18-07-25,VAY BAND 1267 LITE GREY,4.03,400,9,145.08,9,145.08,0,0,1902.16
3343,719,18-07-25,VB-1121 IVORY (0.45MMX22MM),3.5,100,9,31.5,9,31.5,0,0,413
3344,719,18-07-25,VB-1263HG(0.5MMX22MM),6.19,200,9,111.42,9,111.42,0,0,1460.84
3345,719,18-07-25,VB-19070(0.45MMX22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
3346,719,18-07-25,VB-REALWOOD2 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3347,720,18-07-25,VAY BAND REALWUD3 (0.8MMX22MM),8.5,100,9,76.5,9,76.5,0,0,1003
3348,720,18-07-25,VAY BANDREALWOOD3 2MMX22MM,20.35,300,9,549.45,9,549.45,0,0,7203.9
3349,720,18-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3350,720,18-07-25,VB-1141 {0.45X22MM},3.94,200,9,70.92,9,70.92,0,0,929.84
3351,721,18-07-25,VB-10659 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3352,721,18-07-25,VB-2892 MT(.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3353,721,18-07-25,VB-REALWUD 0.45X22MM,3.94,150,9,53.19,9,53.19,0,0,697.38
3354,722,18-07-25,VAY BAND 10659 40MM,11.03,100,9,99.27,9,99.27,0,0,1301.54
3355,722,18-07-25,VB-1114 MAT (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3356,722,18-07-25,VB-2891-MT-WOOD-0.45*22,3.94,200,9,70.92,9,70.92,0,0,929.84
3357,722,18-07-25,VB-2892 MT(.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3358,722,18-07-25,VB-4013 (0.45MMX22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3359,722,18-07-25,VB-REALWOOD2 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3360,723,18-07-25,VAY BAND1135 HG{.5},6.19,200,9,111.42,9,111.42,0,0,1460.84
3361,723,18-07-25,VB-1263HG(0.5MMX22MM),6.19,200,9,111.42,9,111.42,0,0,1460.84
3362,724,18-07-25,VAY BAND 10659 2MMX22MM,20.35,300,9,549.45,9,549.45,0,0,7203.9
3363,725,18-07-25,VB-10659 (0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3364,725,18-07-25,VB-1698 {0.45X22MM},3.94,100,9,35.46,9,35.46,0,0,464.92
3365,725,18-07-25,VB-5063 (0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3366,726,18-07-25,VAY BAND1114HG,6.19,300,9,167.13,9,167.13,0,0,2191.26
3367,726,18-07-25,VB-1114 MAT (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3368,726,18-07-25,VB-1119(0.8MMX22MM),8.71,50,9,39.2,9,39.2,0,0,513.9
3369,727,18-07-25,VB-REALWOOD2 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
3370,728,18-07-25,VAY BAND1114HG,6.19,750,9,417.82,9,417.82,0,0,5478.14
3371,728,18-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,500,9,162,9,162,0,0,2124
3372,729,18-07-25,VB-2890 MT(0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3373,730,21-07-25,VAY BAND1136MT0.5X22MM,4.03,50,9,18.14,9,18.14,0,0,237.78
3374,730,21-07-25,VB-10450 (0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3375,730,21-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
3376,730,21-07-25,VB-1114 MAT (0.45MMX22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
3377,730,21-07-25,VB-1132(0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3378,730,21-07-25,VB-1135 SAGE GREEN (0.45X22),3.6,50,9,16.2,9,16.2,0,0,212.4
3379,730,21-07-25,VB-1261 MAT(0.45MMX22MM),3.6,50,9,16.2,9,16.2,0,0,212.4
3380,730,21-07-25,VB-1313MT(0.45MMX22MM),3.6,50,9,16.2,9,16.2,0,0,212.4
3381,731,21-07-25,VAY BAND 1113HG(OFF-WHITE),6.19,150,9,83.57,9,83.57,0,0,1095.64
3382,731,21-07-25,VAY BAND1114HG,6.19,400,9,222.84,9,222.84,0,0,2921.68
3383,731,21-07-25,VAY BAND1135 HG{.5},6.19,150,9,83.57,9,83.57,0,0,1095.64
3384,731,21-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
3385,731,21-07-25,VB-1114 MAT (0.45MMX22MM),3.6,150,9,48.6,9,48.6,0,0,637.2
3386,731,21-07-25,VB-1299 NAVY BLUE (0.45MMX22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
3387,731,21-07-25,VB-2890 MT(0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3388,731,21-07-25,VB-2892 MT(.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3389,731,21-07-25,VB-REALWOOD3 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3390,732,21-07-25,VAY BAND 10659 40MM,11.03,50,9,49.64,9,49.64,0,0,650.78
3391,732,21-07-25,VB-1141 {0.45X22MM},3.94,100,9,35.46,9,35.46,0,0,464.92
3392,732,21-07-25,VB-5095 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3393,733,21-07-25,1135 HG 0.5X40MM,11.88,50,9,53.46,9,53.46,0,0,700.92
3394,733,21-07-25,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,11.88,100,9,106.92,9,106.92,0,0,1401.84
3395,733,21-07-25,VAY BAND 1114GL 0.5MMX40MM,11.88,100,9,106.92,9,106.92,0,0,1401.84
3396,733,21-07-25,VAY BAND REALWUD3 - 0.5X40MM,11.03,50,9,49.64,9,49.64,0,0,650.78
3397,733,21-07-25,VAY BAND1135 HG{.5},6.19,150,9,83.57,9,83.57,0,0,1095.64
3398,733,21-07-25,VB-REALWOOD2 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3399,734,21-07-25,VB-1132(0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3400,735,21-07-25,VAY BAND1114HG,6.19,250,9,139.28,9,139.28,0,0,1826.06
3401,735,21-07-25,VB-REALWOOD3 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3402,736,21-07-25,VB-5465 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3403,736,21-07-25,VB-5772 (0.45MMX22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3404,737,21-07-25,VB-1131(O.45X22MM),3.94,350,9,124.11,9,124.11,0,0,1627.22
3405,738,21-07-25,VAY BAND 1114MT 0.8MMX22MM,7.89,50,9,35.51,9,35.51,0,0,465.52
3406,738,21-07-25,VAY BAND 1126 HG (.5),6.19,50,9,27.86,9,27.86,0,0,365.22
3407,738,21-07-25,VAY BAND 1515 VENGA MT (0.45MMX22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3408,738,21-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3409,738,21-07-25,VB-1141 {0.45X22MM},3.94,100,9,35.46,9,35.46,0,0,464.92
3410,738,21-07-25,VB-1313MT(0.45MMX22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
3411,738,21-07-25,VB-1803 ASH DARK(0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3412,738,21-07-25,VB-1873 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3413,738,21-07-25,VB-5465 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3414,739,21-07-25,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,11.88,50,9,53.46,9,53.46,0,0,700.92
3415,740,21-07-25,VAY BAND 1114MT 0.5MMX40MM,9.37,200,9,168.66,9,168.66,0,0,2211.32
3416,740,21-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3417,740,21-07-25,VB-1114 MAT (0.45MMX22MM),3.6,750,9,243,9,243,0,0,3186
3418,740,21-07-25,VB-1261 MAT(0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3419,741,21-07-25,VB-1044 (0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3420,741,21-07-25,VB-1114 MAT (0.45MMX22MM),3.6,200,9,64.8,9,64.8,0,0,849.6
3421,741,21-07-25,VB-1140 BAGE (0.45MMX22MM),3.6,50,9,16.2,9,16.2,0,0,212.4
3422,741,21-07-25,VB-1261 MAT(0.45MMX22MM),3.6,50,9,16.2,9,16.2,0,0,212.4
3423,741,21-07-25,VB-30034(0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3424,741,21-07-25,VB-5772 (0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3425,742,21-07-25,VB-5550 (0.45MMX22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3426,743,21-07-25,VAY BAND 1313 HG CLUD GREY,6.19,50,9,27.86,9,27.86,0,0,365.22
3427,743,21-07-25,VB-REALWUD 0.45X22MM,3.94,50,9,17.73,9,17.73,0,0,232.46
3428,744,21-07-25,1135 HG 0.5X40MM,11.88,50,9,53.46,9,53.46,0,0,700.92
3429,744,21-07-25,1267 HG(0.5X22MM),6.19,100,9,55.71,9,55.71,0,0,730.42
3430,744,21-07-25,VAY BAND 10659 40MM,11.03,100,9,99.27,9,99.27,0,0,1301.54
3431,744,21-07-25,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,11.88,50,9,53.46,9,53.46,0,0,700.92
3432,744,21-07-25,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,10.89,50,9,49,9,49,0,0,642.5
3433,744,21-07-25,VAY BAND 1114GL 0.5MMX40MM,11.88,50,9,53.46,9,53.46,0,0,700.92
3434,744,21-07-25,VAY BAND 1114MT 0.5MMX40MM,9.37,50,9,42.16,9,42.16,0,0,552.82
3435,744,21-07-25,VAY BAND 1126 HG (.5),6.19,100,9,55.71,9,55.71,0,0,730.42
3436,744,21-07-25,VAY BAND 1126 MT .45X22MM,3.6,100,9,32.4,9,32.4,0,0,424.8
3437,744,21-07-25,VAY BAND 1264 HG (0.5X22MM) DARK GREY,6.19,100,9,55.71,9,55.71,0,0,730.42
3438,744,21-07-25,VAY BAND1135 HG{.5},6.19,100,9,55.71,9,55.71,0,0,730.42
3439,744,21-07-25,VB-1044 (0.45MMX22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3440,744,21-07-25,VB-10659 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3441,744,21-07-25,VB-1114 MAT (0.45MMX22MM),3.6,150,9,48.6,9,48.6,0,0,637.2
3442,744,21-07-25,VB-1120 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3443,744,21-07-25,VB-1141 {0.45X22MM},3.94,150,9,53.19,9,53.19,0,0,697.38
3444,744,21-07-25,VB-1143{0.45X2MM},3.94,100,9,35.46,9,35.46,0,0,464.92
3445,744,21-07-25,VB-1261 MAT(0.45MMX22MM),3.6,200,9,64.8,9,64.8,0,0,849.6
3446,744,21-07-25,VB-2892 MT(.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3447,745,21-07-25,1267 HG(0.5X22MM),6.19,250,9,139.28,9,139.28,0,0,1826.06
3448,745,21-07-25,VAY BAND 10659 40MM,11.03,150,9,148.9,9,148.9,0,0,1952.3
3449,745,21-07-25,VAY BAND 1113HG (0.8MM),10.17,250,9,228.82,9,228.82,0,0,3000.14
3450,745,21-07-25,VAY BAND 1114GL 0.8MMX22MM,10.17,250,9,228.82,9,228.82,0,0,3000.14
3451,745,21-07-25,VAY BAND1135 HG{.5},6.19,250,9,139.28,9,139.28,0,0,1826.06
3452,745,21-07-25,VB-1114 MT (0.8MMX40MM),16.52,150,9,223.02,9,223.02,0,0,2924.04
3453,746,21-07-25,1135 HG 0.5X40MM,11.88,50,9,53.46,9,53.46,0,0,700.92
3454,746,21-07-25,1267 HG(0.5X22MM),6.19,100,9,55.71,9,55.71,0,0,730.42
3455,746,21-07-25,VAY BAND 1126 HG (.5),6.19,100,9,55.71,9,55.71,0,0,730.42
3456,746,21-07-25,VAY BAND 1261HG (DARK GREY),6.19,100,9,55.71,9,55.71,0,0,730.42
3457,746,21-07-25,VAY BAND1126 (0.8MMX22MM),10.17,100,9,91.53,9,91.53,0,0,1200.06
3458,746,21-07-25,VAY BAND1135 HG{.5},6.19,100,9,55.71,9,55.71,0,0,730.42
3459,746,21-07-25,VB-10659 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3460,746,21-07-25,VB-1119 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3461,746,21-07-25,VB-11510(0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3462,746,21-07-25,VB-2892 MT(.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3463,746,21-07-25,VB-REALWOOD3 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3464,747,21-07-25,VAY BAND 1114GL 0.8MMX22MM,10.17,300,9,274.59,9,274.59,0,0,3600.18
3465,747,21-07-25,VB-1114 MAT (0.45MMX22MM),3.6,1000,9,324,9,324,0,0,4248
3466,747,21-07-25,VB-1261 MAT(0.45MMX22MM),3.6,200,9,64.8,9,64.8,0,0,849.6
3467,747,21-07-25,VB-1401MT (0.45X22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
3468,747,21-07-25,VB-1873 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
3469,747,21-07-25,VB-REALWOOD3 (0.45X22MM),3.94,400,9,141.84,9,141.84,0,0,1859.68
3470,748,21-07-25,VB-30086(0.45MMX22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3471,749,21-07-25,VAY BAND 1873 2MMX22MM,20.35,100,9,183.15,9,183.15,0,0,2401.3
3472,750,21-07-25,VAY BAND 10659 0.8MMX22MM,8.5,100,9,76.5,9,76.5,0,0,1003
3473,750,21-07-25,VAY BAND 10659 40MM,11.03,100,9,99.27,9,99.27,0,0,1301.54
3474,750,21-07-25,VAY BAND 1126 HG (.5),6.19,100,9,55.71,9,55.71,0,0,730.42
3475,750,21-07-25,VAY BAND1114HG,6.19,100,9,55.71,9,55.71,0,0,730.42
3476,750,21-07-25,VAY BAND1135 HG{.5},6.19,100,9,55.71,9,55.71,0,0,730.42
3477,750,21-07-25,VB-1263HG(0.5MMX22MM),6.19,100,9,55.71,9,55.71,0,0,730.42
3478,751,21-07-25,VB-1119(0.8MMX22MM),8.71,200,9,156.78,9,156.78,0,0,2055.56
3479,752,21-07-25,VAY BAND 1113HG(OFF-WHITE),6.19,250,9,139.28,9,139.28,0,0,1826.06
3480,752,21-07-25,VB-10485(0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3481,752,21-07-25,VB-1114 MAT (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3482,752,21-07-25,VB-REALWOOD2 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3483,752,21-07-25,VB-REALWOOD3 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3484,753,22-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,500,9,162,9,162,0,0,2124
3485,753,22-07-25,VB-11510(0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3486,753,22-07-25,VB-5465 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3487,754,22-07-25,VB-19070(0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3488,755,22-07-25,VB-1044 (0.45MMX22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3489,755,22-07-25,VB-1119 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
3490,755,22-07-25,VB-1122 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3491,755,22-07-25,VB-5095 (0.45X22MM),3.94,350,9,124.11,9,124.11,0,0,1627.22
3492,756,22-07-25,VB-5465 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
3493,757,22-07-25,VAY BAND 10659 40MM,11.03,50,9,49.64,9,49.64,0,0,650.78
3494,757,22-07-25,VAY BAND 1126 HG (.5),6.19,400,9,222.84,9,222.84,0,0,2921.68
3495,757,22-07-25,VAY BAND 1126 MT .45X22MM,3.6,150,9,48.6,9,48.6,0,0,637.2
3496,757,22-07-25,VAY BAND 19070 0.5MMX40MM,11.03,50,9,49.64,9,49.64,0,0,650.78
3497,757,22-07-25,VAY BAND1114HG,6.19,500,9,278.55,9,278.55,0,0,3652.1
3498,757,22-07-25,VB-10659 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3499,757,22-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3500,757,22-07-25,VB-1114 MAT (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3501,757,22-07-25,VB-19070(0.45MMX22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3502,758,22-07-25,VB-1044 (0.45MMX22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3503,758,22-07-25,VB-1141 {0.45X22MM},3.94,100,9,35.46,9,35.46,0,0,464.92
3504,759,22-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,500,9,162,9,162,0,0,2124
3505,759,22-07-25,VB-1115 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3506,759,22-07-25,VB-1873 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3507,759,22-07-25,VB-REALWOOD2 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3508,760,22-07-25,VAY BAND 11510 2MMX22MM,20.35,300,9,549.45,9,549.45,0,0,7203.9
3509,760,22-07-25,VAY BAND 11510(0.5X22),4.66,500,9,209.7,9,209.7,0,0,2749.4
3510,760,22-07-25,VAY BAND 11510MT 0.8MMX22MM,8.5,500,9,382.5,9,382.5,0,0,5015
3511,760,22-07-25,VAY BAND1135 HG{.5},6.19,500,9,278.55,9,278.55,0,0,3652.1
3512,760,22-07-25,VB-1129 MAT(0.45MMX22MM),3.6,300,9,97.2,9,97.2,0,0,1274.4
3513,761,22-07-25,VB-1114 MAT (0.45MMX22MM),3.6,500,9,162,9,162,0,0,2124
3514,761,22-07-25,VB-5095 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3515,762,22-07-25,VAY BAND 1873 0.8MMX40MM,17.23,50,9,77.54,9,77.54,0,0,1016.58
3516,763,23-07-25,VB-REALWOOD2 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3517,764,23-07-25,VAY BAND1114HG,6.19,150,9,83.57,9,83.57,0,0,1095.64
3518,764,23-07-25,VB-1013 (0.45X22MM),3.94,300,9,106.38,9,106.38,0,0,1394.76
3519,764,23-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
3520,764,23-07-25,VB-1114 MAT (0.45MMX22MM),3.6,150,9,48.6,9,48.6,0,0,637.2
3521,764,23-07-25,VB-1313MT(0.45MMX22MM),3.6,50,9,16.2,9,16.2,0,0,212.4
3522,764,23-07-25,VB-19070(0.45MMX22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3523,764,23-07-25,VB-5095 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3524,765,23-07-25,VAY BAND 1267 LITE GREY,4.03,100,9,36.27,9,36.27,0,0,475.54
3525,765,23-07-25,VB-10659 (0.45X22MM),3.94,300,9,106.38,9,106.38,0,0,1394.76
3526,765,23-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,200,9,64.8,9,64.8,0,0,849.6
3527,765,23-07-25,VB-1261 MAT(0.45MMX22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
3528,765,23-07-25,VB-19074 (0.45X22MM),3.94,300,9,106.38,9,106.38,0,0,1394.76
3529,766,23-07-25,VAY BAND 1401HG 40MMX50MTR,11.88,100,9,106.92,9,106.92,0,0,1401.84
3530,766,23-07-25,VAY BAND1135 HG{.5},6.19,250,9,139.28,9,139.28,0,0,1826.06
3531,766,23-07-25,VB-1033 WHITE WOOD  (0.45MMX22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3532,766,23-07-25,VB-10659 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
3533,766,23-07-25,VB-1122 (0.45X22MM),3.94,300,9,106.38,9,106.38,0,0,1394.76
3534,766,23-07-25,VB-1803 ASH DARK(0.45MMX22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3535,766,23-07-25,VB-19074 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
3536,767,23-07-25,1267 HG(0.5X22MM),6.19,150,9,83.57,9,83.57,0,0,1095.64
3537,767,23-07-25,VAY BAND 1113HG(OFF-WHITE),6.19,300,9,167.13,9,167.13,0,0,2191.26
3538,767,23-07-25,VAY BAND 1261HG (DARK GREY),6.19,150,9,83.57,9,83.57,0,0,1095.64
3539,767,23-07-25,VAY BAND 1264 HG (0.5X22MM) DARK GREY,6.19,150,9,83.57,9,83.57,0,0,1095.64
3540,767,23-07-25,VAY BAND 1313 HG CLUD GREY,6.19,150,9,83.57,9,83.57,0,0,1095.64
3541,767,23-07-25,VAY BAND1114HG,6.19,300,9,167.13,9,167.13,0,0,2191.26
3542,767,23-07-25,VAY BAND1135 HG{.5},6.19,150,9,83.57,9,83.57,0,0,1095.64
3543,767,23-07-25,VB-10485(0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3544,767,23-07-25,VB-10659 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3545,767,23-07-25,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,500,9,162,9,162,0,0,2124
3546,767,23-07-25,VB-1114 MAT (0.45MMX22MM),3.6,500,9,162,9,162,0,0,2124
3547,767,23-07-25,VB-1123 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3548,767,23-07-25,VB-1131(O.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3549,767,23-07-25,VB-1132(0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3550,767,23-07-25,VB-1263HG(0.5MMX22MM),6.19,150,9,83.57,9,83.57,0,0,1095.64
3551,767,23-07-25,VB-1804{0.45X22MM},3.94,150,9,53.19,9,53.19,0,0,697.38
3552,767,23-07-25,VB-1873 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3553,767,23-07-25,VB-2891-MT-WOOD-0.45*22,3.94,150,9,53.19,9,53.19,0,0,697.38
3554,767,23-07-25,VB-2892 MT(.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3555,767,23-07-25,VB-5373 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3556,768,23-07-25,VB-5063 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
3557,769,23-07-25,VB-10659 (0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3558,770,24-07-25,VAY BAND 1126 HG (.5),6.19,100,9,55.71,9,55.71,0,0,730.42
3559,770,24-07-25,VAY BAND 1133MT0.5X22MM,4.03,50,9,18.14,9,18.14,0,0,237.78
3560,770,24-07-25,VAY BAND1135 HG{.5},6.19,250,9,139.28,9,139.28,0,0,1826.06
3561,770,24-07-25,VB-1141 {0.45X22MM},3.94,100,9,35.46,9,35.46,0,0,464.92
3562,770,24-07-25,VB-1803 ASH DARK(0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
3563,770,24-07-25,VB-2892 MT(.45X22MM),3.94,450,9,159.57,9,159.57,0,0,2092.14
3564,771,24-07-25,VAY BAND 10659 2MMX22MM,20.35,50,9,91.58,9,91.58,0,0,1200.66
3565,771,24-07-25,VAY BAND1135 HG{.5},6.19,150,9,83.57,9,83.57,0,0,1095.64
3566,771,24-07-25,VB-10659 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3567,771,24-07-25,VB-1263HG(0.5MMX22MM),6.19,100,9,55.71,9,55.71,0,0,730.42
3568,772,24-07-25,VAY BAND 1313 HG CLUD GREY,6.19,50,9,27.86,9,27.86,0,0,365.22
3569,772,24-07-25,VB-1044 (0.45MMX22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
3570,772,24-07-25,VB-10659 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
3571,772,24-07-25,VB-1114 MAT (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
3572,772,24-07-25,VB-1261 MAT(0.45MMX22MM),3.6,50,9,16.2,9,16.2,0,0,212.4
3573,772,24-07-25,VB-2892 MT(.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
