SlNo,Invoice No,Date,Item Name,Rate,Qty,CGST%,CGST,SGST%,SGST,IGST%,IGST,Amount
57,18,3/4/2025,VAY BAND 1113HG(OFF-WHITE),6.19,100,9,55.71,9,55.71,0,0,730.42
58,18,3/4/2025,VAY BAND 1114GL 0.8MMX22MM,10.17,50,9,45.76,9,45.76,0,0,600.02
59,18,3/4/2025,VB-1033 WHITE WOOD  (0.45MMX22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
60,18,3/4/2025,VB-10659 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
61,18,3/4/2025,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,300,9,97.2,9,97.2,0,0,1274.4
62,18,3/4/2025,VB-1114 MAT (0.45MMX22MM),3.6,200,9,64.8,9,64.8,0,0,849.6
63,18,3/4/2025,VB-1120 (0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
64,18,3/4/2025,VB-4013 (0.45MMX22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
65,18,3/4/2025,VB-5063 (0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
66,18,3/4/2025,VB-5095 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
67,19,3/4/2025,VAY BAND1114HG,6.19,300,9,167.13,9,167.13,0,0,2191.26
68,19,3/4/2025,VB-1122 VENGA( 0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
69,19,3/4/2025,VB-1261 MAT(0.45MMX22MM),3.6,50,9,16.2,9,16.2,0,0,212.4
70,19,3/4/2025,VB-REALWOOD2 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
71,20,4/4/2025,VB-19071 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
72,21,4/4/2025,VAY BAND1135MT 0.5X22MM,4.03,100,9,36.27,9,36.27,0,0,475.54
73,21,4/4/2025,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,400,9,129.6,9,129.6,0,0,1699.2
74,22,4/4/2025,VAY BAND REALWUD3 - 0.5X40MM,11.03,100,9,99.27,9,99.27,0,0,1301.54
75,22,4/4/2025,VAY BANDREALWOOD3 2MMX22MM,20.35,150,9,274.73,9,274.73,0,0,3601.96
76,22,4/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
77,23,4/4/2025,VAY BAND1261MT 0.5MMX40MM,8.06,150,9,108.81,9,108.81,0,0,1426.62
78,23,4/4/2025,VB-1261 MAT(0.45MMX22MM),3.6,400,9,129.6,9,129.6,0,0,1699.2
79,23,4/4/2025,VB-5465 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
80,24,4/4/2025,VAY BAND 1873 0.5MMX40MM,11.03,100,9,99.27,9,99.27,0,0,1301.54
81,25,7/4/2025,VAY BAND 10659 0.8MMX22MM,8.5,50,9,38.25,9,38.25,0,0,501.5
82,25,7/4/2025,VB-2892 MT(.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
83,25,7/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
84,26,7/4/2025,VB-REALWOOD2 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
85,26,7/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
86,26,7/4/2025,VB-REALWUD 0.45X22MM,3.94,150,9,53.19,9,53.19,0,0,697.38
87,27,7/4/2025,VAY BAND 1113HG(OFF-WHITE),6.19,50,9,27.86,9,27.86,0,0,365.22
88,27,7/4/2025,VAY BAND1114HG,6.19,50,9,27.86,9,27.86,0,0,365.22
89,27,7/4/2025,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,50,9,16.2,9,16.2,0,0,212.4
90,27,7/4/2025,VB-11510(0.45X22MM),3.94,300,9,106.38,9,106.38,0,0,1394.76
91,27,7/4/2025,VB-REALWUD 0.45X22MM,3.94,600,9,212.76,9,212.76,0,0,2789.52
92,28,7/4/2025,VAY BAND 1126 HG (.5),6.19,50,9,27.86,9,27.86,0,0,365.22
93,29,7/4/2025,VAY BAND1114HG,6.19,200,9,111.42,9,111.42,0,0,1460.84
94,29,7/4/2025,VB-10659 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
