SlNo,Item Name,P.Price,Retail,COST,Qty,Amount
78,VAY BAND 1261 MAT 1.3MMX22MM,13.05,17.80,13.05,350.00,4567.50
79,VAY BAND 1261HG (DARK GREY),2.15,6.19,2.15,6600.00,14190.00
80,VAY BAND 1261MATT (DARK GREY),2.80,4.03,2.80,0.00,0.00
81,VAY BAND 1262 HG(0.5X22),5.59,7.17,5.59,0.00,0.00
82,VAY BAND 1264 HG (0.5X22MM) DARK GREY,2.15,6.19,2.15,11600.00,24940.00
83,VAY BAND 1267 LITE GREY,2.71,3.60,2.71,6550.00,17750.50
84,VAY BAND 1313 HG CLUD GREY,4.96,6.19,4.96,9350.00,46376.00
85,VAY BAND 1313 MT CLUD GREY,2.80,4.03,2.80,0.00,0.00
86,VAY BAND 1401 BLACK MATT,2.80,4.03,2.80,0.00,0.00
87,VAY BAND 1401GL BLACK GLOSSY,5.70,7.12,5.70,19700.00,112290.00
88,VAY BAND 1401HG 40MMX50MTR,7.98,11.88,7.98,1450.00,11571.00
89,VAY BAND 1515 VENGA MT,3.39,4.66,3.39,0.00,0.00
90,VAY BAND 1515 VENGA MT (0.45MMX22MM),3.05,3.94,3.05,3450.00,10522.50
91,VAY BAND 1735 (.45X22MM),3.05,3.94,3.39,9350.00,31696.50
92,VAY BAND 1735 40MM,8.26,11.02,8.26,0.00,0.00
93,VAY BAND 1873,3.39,4.66,3.39,1950.00,6610.50
94,VAY BAND 1873 0.5MMX40MM,8.26,11.03,8.26,100.00,826.00
95,VAY BAND 1873 0.8MMX22MM,7.50,9.75,7.50,6600.00,49500.00
96,VAY BAND 1873 0.8MMX40MM,13.30,17.23,13.30,1900.00,25270.00
97,VAY BAND 1873 2MMX22MM,15.10,20.35,15.10,0.00,0.00
98,VAY BAND 1873 2MMX40MM,31.88,40.25,31.88,1050.00,33474.00
99,VAY BAND 19070,3.39,4.66,3.39,0.00,0.00
100,VAY BAND 19070 0.5MMX40MM,8.26,11.03,8.26,0.00,0.00
101,VAY BAND 19071,3.39,4.66,3.39,50.00,169.50
102,VAY BAND 19074,3.39,4.66,3.39,1500.00,5085.00
103,VAY BAND 19079,3.39,4.66,3.39,300.00,1017.00
104,VAY BAND 2010 IVORY MAT,2.80,4.03,2.80,0.00,0.00
105,VAY BAND 2011 RED MAT,2.80,4.03,2.80,0.00,0.00
106,VAY BAND 2012 PINK MAT,2.80,4.03,2.80,0.00,0.00
107,VAY BAND 30007MT(0.5X22),3.39,4.67,3.39,0.00,0.00
108,VAY BAND 30029MT,3.39,4.67,3.39,0.00,0.00
109,VAY BAND 30034MT,3.39,4.67,3.39,0.00,0.00
110,VAY BAND 30054MT,3.39,4.67,3.39,150.00,508.46
111,VAY BAND 30072MT,3.39,4.67,3.39,2000.00,6780.00
112,VAY BAND 30086MT,3.39,4.67,3.39,0.00,0.00
113,VAY BAND 30167MT,3.39,4.66,3.39,1750.00,5932.50
114,VAY BAND 30181MT,3.39,4.67,3.39,1950.00,6610.50
115,VAY BAND 30216MT,3.39,4.67,3.39,600.00,2034.00
116,VAY BAND 4013MT,3.39,4.66,3.39,1150.00,3898.50
117,VAY BAND 5063MT,3.39,4.67,3.39,0.00,0.00
118,VAY BAND 5095MT,3.39,4.67,3.39,0.00,0.00
119,VAY BAND 5170MT,3.39,4.67,3.39,0.00,0.00
120,VAY BAND 5171(.5X22),3.34,4.66,3.34,3150.00,10521.00
121,VAY BAND 5373MT,3.39,4.67,3.39,0.00,0.00
122,VAY BAND 5375MT 0.5MMX22,3.39,4.66,3.39,3150.00,10678.50
123,VAY BAND 5465MT,3.39,4.67,3.39,0.00,0.00
124,VAY BAND 5550MT,3.39,4.67,3.39,0.00,0.00
125,VAY BAND 5771(0.5X22),3.39,4.66,3.39,600.00,2034.00
126,VAY BAND 5772(0.5X22),3.39,4.66,3.39,0.00,0.00
127,VAY BAND 5773(0.5X22),3.39,4.66,3.39,1000.00,3390.00
128,VAY BAND 5774 (0.5X22),3.39,4.65,3.39,3350.00,11356.50
129,VAY BAND 6987 (0.45X22),3.05,3.94,3.05,9250.00,28212.50
130,VAY BAND REALWOOD 2MMX22MM,15.10,20.35,15.10,400.00,6040.00
131,VAY BAND REALWOOD LIGHT MAT,3.39,4.66,3.39,0.00,0.00
132,VAY BAND REALWOOD LIGHT MAT 0.5X40MM,8.25,11.02,8.25,1450.00,11962.50
133,VAY BAND REALWOOD LIGHT MAT 0.8MMX22MM,6.52,8.50,6.52,6050.00,39446.00
134,VAY BAND REALWOOD-2 DARK MAT,3.39,4.66,3.39,0.00,0.00
135,VAY BAND REALWOOD3 0.5X22MM,3.39,4.66,3.39,50.00,169.50
136,VAY BAND REALWOOD3 2MMX40MM,31.88,40.25,31.88,1100.00,35068.00
137,VAY BAND REALWUD3 - 0.5X40MM,8.91,12.75,8.91,4100.00,36531.00
138,VAY BAND REALWUD3 (0.8MMX22MM),6.52,8.50,6.52,8800.00,57376.00
139,VAY BAND1044MT 0.5MMX22,3.39,4.66,3.39,0.00,0.00
140,VAY BAND10485 (0.8MMX22MM),6.52,8.50,6.52,3250.00,21190.00
141,VAY BAND1113HG 2MMX22MM,18.00,23.73,18.00,3600.00,64800.00
142,VAY BAND1113MT 2MMX22MM,14.41,18.22,14.41,1350.00,19453.50
143,VAY BAND1114HG,5.70,7.12,5.70,22550.00,128535.00
144,VAY BAND1126 (0.8MMX22MM),9.16,11.45,9.16,5300.00,48548.00
145,VAY BAND1131 0.5X22MM,3.39,4.66,3.39,1300.00,4407.00
146,VAY BAND1135 HG{.5},5.70,7.12,2.15,15150.00,32572.50
147,VAY BAND1135MT 0.5X22MM,3.08,4.03,3.08,0.00,0.00
148,VAY BAND1136MT0.5X22MM,3.08,4.03,3.08,3500.00,10780.00
149,VAY BAND11510 2MMMX40MM,31.88,40.25,31.88,600.00,19128.00
150,VAY BAND1261HG 2MMX22MM,19.49,23.73,19.49,2100.00,40929.00
151,VAY BAND1261MT 0.5MMX40MM,6.30,8.06,6.30,700.00,4410.00
