Item Code / SKU,Item Key,Item Name,Overall Monthly Velocity Qty,Recent Monthly Velocity Qty,Weighted Velocity Qty,Velocity Percentile,Velocity Class,Sales Frequency %,Recent Sales Frequency %,Consistency Class
VAY BAND REALWOOD-2 DARK MAT,VAY BAND REALWOOD-2 DARK MAT,VAY BAND REALWOOD-2 DARK MAT,998.75,0.0,299.625,72.44094488188976,Dormant,40.0,0.0,Dormant
VAY BAND REALWOOD3 0.5X22MM,VAY BAND REALWOOD3 0.5X22MM,VAY BAND REALWOOD3 0.5X22MM,90.0,0.0,27.0,20.47244094488189,Dormant,7.5,0.0,Dormant
VAY BAND REALWOOD3 2MMX40MM,VAY BAND REALWOOD3 2MMX40MM,VAY BAND REALWOOD3 2MMX40MM,6.25,16.666666666666668,13.541666666666666,14.173228346456693,Slow Moving,5.0,16.666666666666664,Irregular
VAY BAND REALWUD3 (0.8MMX22MM),VAY BAND REALWUD3 (0.8MMX22MM),VAY BAND REALWUD3 (0.8MMX22MM),88.75,208.33333333333334,172.45833333333334,61.811023622047244,Medium Moving,22.5,50.0,Irregular
VAY BAND REALWUD3 (40MM),VAY BAND REALWUD3 (40MM),VAY BAND REALWUD3 (40MM),165.0,0.0,49.5,32.677165354330704,Dormant,20.0,0.0,Dormant
VAY BAND REALWUD3 - 0.5X40MM,VAY BAND REALWUD3 - 0.5X40MM,VAY BAND REALWUD3 - 0.5X40MM,61.25,408.3333333333333,304.2083333333333,73.62204724409449,Medium Moving,7.5,50.0,Irregular
VAY BAND1044MT 0.5MMX22,VAY BAND1044MT 0.5MMX22,VAY BAND1044MT 0.5MMX22,125.0,0.0,37.5,24.606299212598426,Dormant,12.5,0.0,Dormant
VAY BAND10485 (0.8MMX22MM),VAY BAND10485 (0.8MMX22MM),VAY BAND10485 (0.8MMX22MM),48.75,150.0,119.625,55.90551181102362,Medium Moving,15.0,33.33333333333333,Irregular
VAY BAND1113HG 2MMX22MM,VAY BAND1113HG 2MMX22MM,VAY BAND1113HG 2MMX22MM,15.0,8.333333333333334,10.333333333333332,12.204724409448819,Slow Moving,12.5,16.666666666666664,Irregular
VAY BAND1113MT 2MMX22MM,VAY BAND1113MT 2MMX22MM,VAY BAND1113MT 2MMX22MM,20.0,41.666666666666664,35.166666666666664,22.83464566929134,Slow Moving,10.0,16.666666666666664,Irregular
