Store ID,Store Name,Location,Contact Person,Phone,Notes,Active,Created At,Updated At
STORE-0001,Vay Incorporates,Alathiyur,Abdullah Koya,,Nothing,Yes,2026-06-29 11:47:40,2026-07-01 19:57:17
STORE-0002,Edgepoint,BP Angadi,Abdullah Koya,,,Yes,2026-06-29 11:51:48,2026-06-29 23:55:33
